"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","uri","duration_ms","time_signature"
"4500",0.386,0.396,3,-12.142,1,0.0323,0.594,0.471,0.164,0.24,103.587,"7lbShURxZAKJ9trp750dgZ","spotify:track:7lbShURxZAKJ9trp750dgZ",181227,4
"32296",0.856,0.688,1,-8.515,0,0.383,0.489,0.939,0.276,0.551,126.039,"5GMZGks6KI86ZP8svpbY1s","spotify:track:5GMZGks6KI86ZP8svpbY1s",213331,4
"33452",0.137,0.657,9,-12.362,0,0.193,0.391,0.978,0.772,0.0979,68.385,"3mdnOY2hfXOSvomyD7ObO2","spotify:track:3mdnOY2hfXOSvomyD7ObO2",120000,4
"8073",0.625,0.735,7,-7.863,1,0.0311,0.467,0.931,0.0946,0.929,100.051,"7nUmUKWEK8zlJmLoyKBvnl","spotify:track:7nUmUKWEK8zlJmLoyKBvnl",182883,4
"38028",0.458,0.769,7,-8.168,0,0.198,0.63,2.96e-05,0.622,0.668,73.154,"2y4PPcgm83nZqq9gM5Sze2","spotify:track:2y4PPcgm83nZqq9gM5Sze2",94635,4
"31300",0.789,0.788,6,-8.214,0,0.394,0.61,0,0.158,0.532,133.695,"39Srw2WlNg46wr15H8HaJv","spotify:track:39Srw2WlNg46wr15H8HaJv",133748,4
"17566",0.833,0.773,9,-7.921,0,0.0353,0.573,0.00696,0.121,0.713,120.131,"0OLPuf2otkIvtGgpTdoBqM","spotify:track:0OLPuf2otkIvtGgpTdoBqM",307333,4
"18867",0.413,0.219,4,-18.667,0,0.0397,0.903,0.00386,0.112,0.31,101.541,"4JA89bJXOUl8OaGDkrhaoi","spotify:track:4JA89bJXOUl8OaGDkrhaoi",388640,4
"14094",0.404,0.234,4,-17.708,1,0.0713,0.951,0.00105,0.563,0.494,96.192,"2yEZr9fwEY6hEpNMLcs7Hg","spotify:track:2yEZr9fwEY6hEpNMLcs7Hg",70000,4
"26609",0.422,0.21,7,-18.32,0,0.0375,0.885,0.00273,0.129,0.343,86.872,"2E5vl5eF4M4QbaADGegVDP","spotify:track:2E5vl5eF4M4QbaADGegVDP",205853,4
"12814",0.604,0.337,6,-13.08,1,0.0283,0.923,0.338,0.113,0.39,95.205,"70n84e5xRJbyIlXOJ0t8X3","spotify:track:70n84e5xRJbyIlXOJ0t8X3",145227,4
"23374",0.844,0.351,6,-14.547,1,0.0486,0.893,0.295,0.119,0.593,120.045,"7chMvjylTedOhNEnRQzBYj","spotify:track:7chMvjylTedOhNEnRQzBYj",221625,4
"3750",0.439,0.338,6,-12.492,1,0.036,0.88,0.321,0.0978,0.174,124.015,"7lfEPuOiyZWupmClOw9YcM","spotify:track:7lfEPuOiyZWupmClOw9YcM",290322,4
"32147",0.688,0.842,2,-4.211,1,0.264,0.0499,0,0.241,0.416,159.897,"1qbqP15RKuH5UHbHkuSsmm","spotify:track:1qbqP15RKuH5UHbHkuSsmm",185856,4
"9695",0.67,0.843,1,-4.311,1,0.0454,0.0392,0,0.225,0.713,117.01,"6kcHg7XL6SKyPNd78daRBL","spotify:track:6kcHg7XL6SKyPNd78daRBL",192040,4
"9499",0.618,0.842,9,-4.384,0,0.0772,0.0452,0.000216,0.0737,0.734,175.989,"2pAkvdCFORWTiFJHVjojdC","spotify:track:2pAkvdCFORWTiFJHVjojdC",189187,4
"38220",0.9,0.707,1,-2.792,1,0.0934,0.161,4.25e-05,0.176,0.634,124.042,"5yAIrkplUEpMNeojW8Q30o","spotify:track:5yAIrkplUEpMNeojW8Q30o",180040,4
"33077",0.573,0.731,0,-2.667,1,0.0264,0.145,0,0.251,0.268,79.993,"5RLYcoMDw5y0ULlCUvMzsQ","spotify:track:5RLYcoMDw5y0ULlCUvMzsQ",230387,4
"34341",0.784,0.721,6,-2.571,0,0.0453,0.154,0,0.238,0.915,112.013,"3XzxHvEomjJIKZcZqYfFut","spotify:track:3XzxHvEomjJIKZcZqYfFut",207133,4
"26700",0.551,0.233,6,-18.251,0,0.0312,0.71,0.000949,0.11,0.659,89.574,"7gtrXOGETM9OkerNjNXeie","spotify:track:7gtrXOGETM9OkerNjNXeie",165187,4
"24615",0.587,0.225,8,-18.269,0,0.0542,0.689,0.00633,0.13,0.325,96.958,"5T4ux5Ris48ysBpknnn1TZ","spotify:track:5T4ux5Ris48ysBpknnn1TZ",160825,4
"20417",0.741,0.187,2,-18.57,0,0.108,0.747,0.000458,0.105,0.543,137.373,"7dWuobuZPvVd4l8IpvPQsw","spotify:track:7dWuobuZPvVd4l8IpvPQsw",202733,4
